"X1_t1","X2_t1","X3_t1","X4_t1","X5_t1","X6_t1","X7_t1","X8_t1","X9_t1","X10_t1","X11_t1","X12_t1","X13_t1","X14_t1","X15_t1","X16_t1","X17_t1","X18_t1","X19_t1","X20_t1","X21_t1","X22_t1","X23_t1","X24_t1","X1_t2","X2_t2","X3_t2","X4_t2","X5_t2","X6_t2","X7_t2","X8_t2","X9_t2","X10_t2","X11_t2","X12_t2","X13_t2","X14_t2","X15_t2","X16_t2","X17_t2","X18_t2","X19_t2","X20_t2","X21_t2","X22_t2","X23_t2","X24_t2","time_taken_t1","total_time","cat_questionnaire_time_t1","cat_questionnaire_time_t2","score_t1","score_t2","ID"
3,4,5,4,5,5,5,5,3,2,5,3,3,5,3,2,3,3,3,1,4,4,2,5,4,4,5,5,4,5,4,5,3,3,4,3,4,4,3,3,4,4,4,2,3,4,4,4,501.639,167.415,58884,68426,87,92,78
3,5,4,3,5,4,4,3,5,3,5,4,3,3,2,4,4,4,5,3,2,4,3,4,4,5,5,5,5,5,4,4,5,4,5,4,4,4,3,5,4,4,4,3,3,5,4,4,984.724,276.178,170544,138910,89,102,79
4,4,4,5,2,5,5,5,5,4,2,5,3,2,4,2,4,2,4,3,3,4,3,4,4,5,3,5,3,5,5,4,5,5,2,4,2,4,4,1,3,2,4,2,4,3,4,3,999.313,302.962,131837,193510,88,86,80
1,1,4,2,1,1,2,2,1,1,3,1,2,1,1,2,3,2,3,2,1,2,1,2,2,3,5,3,3,2,1,1,1,1,3,2,2,3,1,1,3,2,3,2,1,2,1,1,1586.066,539.933,211771,316735,42,49,81
4,2,2,2,1,1,1,2,4,1,1,2,1,2,3,1,3,1,1,2,2,2,1,1,3,3,3,4,1,1,1,2,4,1,1,3,1,1,2,1,3,2,1,2,4,2,1,1,828.774,311.386,102623,129652,43,48,82
3,4,4,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,4,3,2,4,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,3,746.528,162.567,44931,95688,70,56,83
2,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,3,2,2,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1462.464,240.526,585348,139953,34,36,84
3,3,3,3,1,1,1,1,3,2,3,1,3,4,2,1,2,2,1,2,2,1,1,2,2,3,3,2,2,2,3,1,2,3,2,2,2,3,2,1,2,1,2,2,2,1,1,2,795.382,225.211,167274,128681,48,48,85
2,3,2,3,3,3,1,3,2,3,4,3,3,4,3,3,4,2,4,1,3,3,4,4,1,1,1,3,2,1,1,2,1,1,4,2,4,3,2,1,2,2,1,1,3,1,2,2,947.398,256.146,156121,139421,70,44,86
3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,2,3,2,2,4,4,4,2,3,3,3,3,3,2,2,1,1,3,2,1,3,2,3,2,2,3,3,2,4,2,2,418.187,249.403,37518,133424,77,57,87
5,5,5,5,5,4,5,5,2,3,5,5,4,2,3,3,4,5,4,4,2,2,3,3,2,4,3,3,3,2,4,3,2,2,4,4,3,1,3,3,3,3,2,4,2,2,4,3,671.363,184.708,71934,86370,93,69,88
4,5,4,5,5,2,3,4,2,5,5,4,2,4,4,1,4,3,3,4,2,2,3,4,4,5,3,5,5,3,2,4,3,5,5,4,3,5,3,2,3,3,3,4,2,2,4,4,1572.245,372.51,188162,136184,84,86,89
